,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,7.0,0.27,0.36,20.7,45.0,45,170,1.001,3.0,0.45,8.8,6
1,6.3,0.3,0.34,1.6,49.0,14,132,994.0,3.3,0.49,9.5,6
2,8.1,0.28,0.4,6.9,0.05,30,97,9.951,3.26,0.44,10.1,6
3,7.2,0.23,0.32,8.5,58.0,47,186,9.956,3.19,0.4,9.9,6
4,7.2,0.23,0.32,8.5,58.0,47,186,9.956,3.19,0.4,9.9,6
5,8.1,0.28,0.4,6.9,0.05,30,97,9.951,3.26,0.44,10.1,6
6,6.2,0.32,0.16,7.0,45.0,30,136,9.949,3.18,0.47,9.6,6
7,7.0,0.27,0.36,20.7,45.0,45,170,1.001,3.0,0.45,8.8,6
8,6.3,0.3,0.34,1.6,49.0,14,132,994.0,3.3,0.49,9.5,6
9,8.1,0.22,0.43,1.5,44.0,28,129,9.938,3.22,0.45,11.0,6
